school,season,game_id,win,sets_won,total_points,attack_success,attack_attempted,block_success,block_attempted,serve_success,serve_attempted,dig_success,dig_attempted,receive_success,receive_attempted,set_success,set_attempted
DE LA SALLE UNIVERSITY,87,126,0,0,56,26 , 147,8 , 53,3 , 57,35 , 120,32 , 68,12 , 121
NATIONAL UNIVERSITY,87,126,1,3,75,48 , 143,7 , 47,2 , 74,53 , 122,23 , 53,17 , 125
NATIONAL UNIVERSITY,87,124,1,3,88,62 , 172,4 , 66,4 , 87,50 , 149,43 , 73,25 , 147
DE LA SALLE UNIVERSITY,87,124,0,1,80,47 , 154,7 , 66,4 , 81,40 , 140,38 , 75,19 , 138
DE LA SALLE UNIVERSITY,87,121,1,3,86,46 , 173,11 , 71,7 , 85,53 , 144,34 , 82,17 , 154
UNIVERSITY OF STO. TOMAS,87,121,0,1,89,52 , 171,2 , 53,4 , 90,50 , 158,24 , 74,17 , 143
FAR EASTERN UNIVERSITY,87,120,0,2,102,64 , 194,10 , 71,5 , 102,51 , 165,52 , 103,23 , 174
NATIONAL UNIVERSITY,87,120,1,3,109,71 , 192,13 , 74,6 , 109,51 , 169,45 , 96,28 , 175
UNIVERSITY OF STO. TOMAS,87,117,0,1,100,48 , 178,8 , 65,6 , 101,62 , 155,40 , 88,32 , 157
DE LA SALLE UNIVERSITY,87,117,1,3,107,58 , 189,20 , 63,4 , 105,58 , 145,40 , 96,34 , 165
NATIONAL UNIVERSITY,87,116,1,3,110,72 , 194,9 , 68,5 , 110,71 , 158,38 , 84,34 , 166
UNIVERSITY OF STO. TOMAS,87,116,0,2,94,54 , 187,5 , 81,8 , 94,52 , 152,46 , 100,23 , 157
UNIVERSITY OF THE PHILIPPINES,87,115,0,0,52,21 , 123,5 , 42,3 , 53,33 , 103,21 , 68,10 , 103
ADAMSON UNIVERSITY,87,115,1,3,75,46 , 122,5 , 53,6 , 74,48 , 93,16 , 47,17 , 104
FAR EASTERN UNIVERSITY,87,112,1,3,98,60 , 180,7 , 60,6 , 97,51 , 165,40 , 84,24 , 160
DE LA SALLE UNIVERSITY,87,112,0,1,94,59 , 185,8 , 70,3 , 95,51 , 156,44 , 88,18 , 152
ATENEO DE MANILA UNIVERSITY,87,111,1,3,100,53 , 198,10 , 87,4 , 99,50 , 173,40 , 84,28 , 175
UNIVERSITY OF THE EAST,87,111,0,1,87,49 , 214,11 , 95,2 , 88,54 , 179,36 , 92,15 , 191
DE LA SALLE UNIVERSITY,87,108,1,3,108,65 , 167,12 , 72,5 , 107,43 , 137,39 , 80,23 , 144
ADAMSON UNIVERSITY,87,108,0,2,91,62 , 178,8 , 61,2 , 92,49 , 142,55 , 101,26 , 164
UNIVERSITY OF STO. TOMAS,87,107,1,2,75,44 , 141,12 , 59,4 , 74,48 , 117,29 , 57,20 , 125
UNIVERSITY OF THE PHILIPPINES,87,107,0,0,59,36 , 136,6 , 56,1 , 60,43 , 114,36 , 69,17 , 118
UNIVERSITY OF THE PHILIPPINES,87,104,1,3,104,60 , 176,6 , 65,5 , 103,56 , 162,47 , 98,35 , 159
DE LA SALLE UNIVERSITY,87,104,0,2,110,62 , 177,9 , 58,10 , 111,54 , 148,41 , 88,30 , 159
NATIONAL UNIVERSITY,87,103,1,2,75,46 , 107,12 , 48,4 , 73,27 , 77,25 , 48,19 , 94
ATENEO DE MANILA UNIVERSITY,87,103,0,0,52,28 , 111,2 , 27,0 , 53,21 , 108,23 , 62,13 , 96
ADAMSON UNIVERSITY,87,100,1,3,93,53 , 167,12 , 74,5 , 92,42 , 137,46 , 88,17 , 145
FAR EASTERN UNIVERSITY,87,100,0,1,96,55 , 160,5 , 52,3 , 97,48 , 140,38 , 83,25 , 145
UNIVERSITY OF THE EAST,87,99,0,0,50,19 , 124,4 , 45,2 , 51,35 , 95,24 , 64,9 , 102
UNIVERSITY OF STO. TOMAS,87,99,1,3,75,46 , 120,6 , 43,4 , 74,38 , 95,17 , 44,15 , 102
ATENEO DE MANILA UNIVERSITY,87,96,0,1,83,46 , 166,5 , 69,4 , 84,43 , 144,43 , 84,24 , 150
